Index,Image ID,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,Count 7,Count 8,Count 9,Count 10,Semantic Tag 1,Semantic Tag 2,Challenge ID,total_score,votes,avg_score
7692,211307,19,36,61,82,56,20,8,4,1,4,15,27,364,1139,291,3.9140893470790377
123385,263755,80,56,61,41,15,8,4,1,0,2,5,18,413,718,268,2.6791044776119404
140391,8241,99,63,43,32,15,5,2,1,1,2,5,0,41,638,263,2.425855513307985
160533,919557,0,0,4,21,50,26,9,0,0,2,14,23,1297,585,112,5.223214285714286
232529,831461,12,20,31,60,43,18,7,1,0,0,1,29,1116,765,192,3.984375
251382,90288,113,67,43,45,22,8,5,0,0,1,38,0,235,759,304,2.4967105263157894
130529,397878,6,14,29,68,46,16,4,1,0,0,0,0,557,755,184,4.103260869565218
201104,346301,4,10,15,59,63,22,6,2,0,0,0,0,507,810,181,4.475138121546961
30945,747268,3,4,24,50,48,50,14,6,4,1,5,0,964,1015,204,4.975490196078432
58825,603896,2,10,21,61,60,26,9,5,4,0,2,51,759,924,198,4.666666666666667
107688,58335,4,10,36,57,57,47,28,8,7,2,0,0,185,1270,256,4.9609375
196929,34283,0,6,38,54,62,27,3,1,1,0,14,15,129,852,192,4.4375
176695,892686,1,3,4,16,42,37,12,5,0,0,15,22,1227,639,120,5.325
71360,577365,13,10,30,49,32,18,2,2,1,0,1,18,731,626,157,3.9872611464968153
234079,35147,17,18,36,65,52,8,8,2,0,0,18,29,131,801,206,3.888349514563106
108683,20674,24,50,71,61,29,5,2,1,0,0,8,18,95,778,243,3.20164609053498
188850,632777,0,0,5,13,75,66,21,13,2,0,14,28,800,1107,195,5.676923076923077
113868,820923,0,0,0,1,4,21,49,47,38,42,14,53,1092,1631,202,8.074257425742575
178204,418335,78,28,45,57,13,8,0,0,1,1,15,19,577,629,231,2.722943722943723
66081,455497,14,31,38,66,45,14,6,0,2,0,1,5,622,823,216,3.810185185185185
34446,913711,4,3,17,39,82,23,13,1,1,1,14,18,1281,883,184,4.798913043478261
196231,545069,5,19,50,102,46,14,5,2,2,0,0,0,702,984,245,4.016326530612245
11352,339676,0,1,2,17,52,60,37,18,9,1,15,0,500,1190,197,6.040609137055838
82861,602778,0,0,0,2,10,32,25,29,13,12,0,0,751,894,123,7.268292682926829
245209,17953,2,1,1,17,28,35,49,53,37,13,2,15,87,1655,236,7.012711864406779
168402,441962,1,1,2,18,57,71,44,14,10,3,0,0,606,1332,221,6.027149321266968
237481,786053,0,1,7,17,57,52,47,11,6,8,14,35,1027,1239,206,6.014563106796117
33829,13753,1,2,7,21,28,52,38,37,20,7,2,20,74,1374,213,6.450704225352113
8463,43030,0,2,4,7,25,45,52,47,25,37,7,12,150,1774,244,7.270491803278689
137612,423294,0,0,1,6,18,39,38,40,20,14,0,0,578,1257,176,7.142045454545454
221474,675590,30,19,43,60,40,20,6,2,3,0,14,15,857,842,223,3.775784753363229
53615,648,1,7,20,31,51,46,22,10,4,0,20,27,10,1000,192,5.208333333333333
77266,453148,0,0,1,2,9,34,45,28,23,18,0,0,615,1186,160,7.4125
8549,43096,15,31,41,62,46,14,4,3,0,1,10,20,150,824,217,3.797235023041474
174955,305426,0,3,13,41,58,66,17,6,6,3,1,40,464,1146,213,5.380281690140845
140686,51794,0,0,4,10,26,35,31,21,7,0,15,22,167,840,134,6.268656716417911
200807,2530,54,52,42,41,18,8,6,3,0,0,0,0,20,652,224,2.9107142857142856
136419,23346,57,35,50,44,20,9,2,2,1,0,0,0,103,646,220,2.9363636363636365
251226,91042,89,61,52,46,34,19,5,3,2,0,15,38,235,912,311,2.932475884244373
129447,173641,2,11,40,82,124,65,29,7,2,7,2,10,335,1829,369,4.956639566395664
65498,94093,1,9,28,61,73,53,28,7,2,3,18,0,239,1330,265,5.018867924528302
117880,687471,2,0,9,11,20,43,40,28,17,10,14,46,874,1188,180,6.6
129472,173399,0,1,4,8,39,81,77,70,53,44,2,0,335,2743,377,7.275862068965517
135057,952321,6,14,20,51,31,7,2,0,0,1,28,40,1392,519,132,3.9318181818181817
87518,725512,0,0,0,7,33,53,36,11,5,4,14,0,915,936,149,6.281879194630872
157457,685351,0,1,4,7,34,78,97,82,56,45,14,43,870,2969,404,7.349009900990099
136393,23215,69,42,33,36,17,8,1,1,0,0,0,0,103,544,207,2.6280193236714977
152836,553900,66,30,37,45,16,3,1,0,0,2,0,0,712,542,200,2.71
185834,246439,1,10,14,50,95,61,22,19,3,4,10,20,392,1477,279,5.293906810035843
107699,58416,0,0,2,4,24,66,55,53,34,19,18,22,185,1843,257,7.171206225680934
148757,410907,0,0,1,2,12,42,55,40,40,25,0,0,569,1638,217,7.548387096774194
30081,417032,2,11,44,79,71,34,9,2,1,0,0,0,573,1119,253,4.4229249011857705
34311,147427,0,4,7,27,84,103,65,46,9,4,14,33,309,2119,349,6.07163323782235
215237,358137,0,0,3,6,19,37,53,43,44,41,14,15,517,1871,246,7.605691056910569
182625,712088,0,7,9,17,68,55,25,10,4,2,38,0,907,1090,197,5.532994923857868
185607,6462,3,2,14,33,54,69,62,32,16,5,14,28,35,1749,290,6.031034482758621
142984,24518,52,55,66,40,19,5,2,0,0,0,14,23,105,659,239,2.757322175732217
193022,571799,0,0,5,37,83,61,19,9,1,2,0,0,725,1178,217,5.428571428571429
214675,303112,0,2,14,37,75,48,11,6,1,3,18,0,458,1021,197,5.182741116751269
12896,38450,14,35,44,76,31,12,4,3,0,0,14,15,141,799,219,3.6484018264840175
221480,675964,0,0,5,18,39,74,45,26,9,6,0,0,857,1390,222,6.261261261261262
