Unnamed: 0.1,Unnamed: 0,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
32,I326,Fire 9,Scene,Pixabay,1.470588235,0.740696519,102,5.148514851,1.888841648,101
35,I380,Garbage dump 2,Scene,Pixabay,1.601851852,0.784663924,108,3.778846154,1.955607972,104
26,I82,Bloody knife 1,Object,Flickr/Maarten Van Damme,1.843137255,1.060030805,102,4.544554455,1.93661949,101
28,I120,Car crash 1,Scene,Wikipedia,1.852941176,0.762967874,102,4.554455446,1.757698766,101
31,I310,Feces 2,Object,Wikipedia,2.009803922,1.029227318,102,3.524752475,2.057153662,101
29,I230,Destruction 7,Scene,Pixabay,2.00990099,0.953887305,101,3.854368932,2.102322558,103
38,I848,Tornado 1,Scene,Pixabay,2.098039216,1.112572649,102,5.059405941,1.91740336,101
36,I638,Plane crash 3,Scene,Pixabay,2.235294118,1.045276699,102,4.128712871,1.820238261,101
30,I307,Explosion 6,Scene,Pixabay,2.257425743,1.246222013,101,4.815533981,1.903287006,103
37,I645,Pollution 1,Scene,Pixabay,2.475247525,1.331120276,101,3.621359223,1.853012941,103
24,I218,Dessert 1,Object,Pixabay,5.333333333,1.11987741,102,3.405940594,1.644251914,101
25,I241,Dock 1,Scene,Pixabay,5.564356436,1.023873445,101,3.640776699,1.63211861,103
18,I359,Food 6,Object,Pixabay,5.656862745,0.99000048,102,3.673267327,1.744184112,101
22,I79,Birthday 1,Scene,Pixabay,5.784313725,0.950533472,102,3.455445545,1.63416494,101
20,I809,Sunflower 1,Scene,Pixabay,5.871287129,1.073902848,101,3.825242718,1.773592701,103
16,I96,Bridge 1,Scene,Pixabay,5.891089109,0.99900941,101,3.553398058,1.775255603,103
13,I516,Nature 1,Scene,Pixabay,6.118811881,0.972492969,101,4.427184466,1.752320264,103
23,I812,Sunset 3,Scene,Pixabay,6.12037037,0.983200882,108,3.711538462,1.914041507,104
15,I660,Rainbow 1,Scene,Wikipedia,6.231481481,0.991614199,108,4.057692308,1.789000497,104
